,biases,tweets
40,80,European Countries are sadly getting clobbered by the China Virus. The Fake News does not like reporting this!
41,80,"STOCK MARKET GETTING VERY CLOSE TO 30,000 ON NEW VACCINE NEWS. 95% EFFECTIVE!"
42,80,They will PACK THE COURTS. We won’t let that happen!
43,80,"The Radical Left Democrats, working with their partner, the Fake News Media, are trying to STEAL this Election. We won’t let them!"
44,80,Trump Campaign Rejects Media Reports of Changed Pennsylvania Case 
45,80,Who will be running for Governor of the Great State of Ohio? Will be hotly contested!
46,80,"Another Vaccine just announced. This time by Moderna, 95% effective. For those great “historians”, please remember… "
47,80,The Fake recount going on in Georgia means nothing because they are not allowing signatures to be looked at and ver… 
48,80,I strongly stand with Kelly &amp; David. They are both great and MUST WIN! 
49,80,"The Washington Post forgot to read the complaint. Fake News. Poll Watchers, and the way they were treated, are a ve… "
50,80,"....owned Dominion Voting Systems, turned down by Texas and many others because it was not good or secure, those re… "
51,80,....perhaps like never before! From large numbers of Poll Watchers that were thrown out of vote counting rooms in m… 
52,80,"Why does the Fake News Media continuously assume that Joe Biden will ascend to the Presidency, not even allowing ou… "
53,80,"A great launch! @NASA was a closed up disaster when we took over. Now it is again the “hottest”, most advanced, spa… "
54,80,"Many of the court cases being filed all over the Country are not ours, but rather those of people that have seen ho… "
55,80,We won’t let a RIGGED ELECTION steal our Country! 
56,80,"WATCH: D.C. Cops Direct Trump-Supporters into Gauntlet of Protesters, Do Nothing When They Are Assaulted… "
57,80,"John Bolton was one of the dumbest people in government that I’ve had the “pleasure” to work with. A sullen, dull a… "
58,80,Rudy will be interviewed by @MariaBartiromo at 10:00 A.M. NOW! 
59,80,He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!
60,80,Watch @RudyGiuliani interview on @MariaBartiromo this morning at 10:00. Doing a great job exposing the Rigged Election Hoax!
61,80,All of the mechanical “glitches” that took place on Election Night were really THEM getting caught trying to steal… 
62,80,"He won because the Election was Rigged. NO VOTE WATCHERS OR OBSERVERS allowed, vote tabulated by a Radical Left pri… "
63,80,"Doing a great job in Georgia. Their recount is a scam, means nothing. Must see fraudulent signatures which is prohi… "
64,80,This is why @FoxNews daytime and weekend daytime have lost their ratings. They are abysmal having @alfredenewman1 (… 
65,80,"Tax filings reveal Biden cancer charity spent millions on salaries, zero on research "
66,80,"Thank you Mark, but the Fake News Media will never say it! "
67,80,"The Fake News Media hardly even discussed the tens of thousands of people that came to D.C. Formed organically, and… "
68,80,Thank you Mollie. The Free and Fair Press is gone in our country. They only write about what they want to write abo… 
69,80,Human Radical Left garbage did this. Being arrested now! 
70,80,"Radical Left ANTIFA SCUM was easily rebuffed today by the big D.C. MAGA Rally crowd, only to return at night, after… "
71,80,"ANTIFA SCUM ran for the hills today when they tried attacking the people at the Trump Rally, because those people a… "
72,80,I look forward to Mayor Giuliani spearheading the legal effort to defend OUR RIGHT to FREE and FAIR ELECTIONS! Rudy… 
73,80,There is tremendous evidence of wide spread voter fraud in that there is irrefutable proof that our Republican poll… 
74,80,.@FoxNews and the Fake News Networks aren’t showing these massive gatherings. Instead they have their reporters sta… 
75,80,They wouldn’t let our Poll Watchers and Observers into the Counting Rooms. We win on that alone!
76,80,The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off… 
77,80,Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! 
78,80,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company,… "
79,80,....We cannot waste time and can only give to those states that will use the Vaccine immediately. Therefore the New… 
80,80,"I LOVE NEW YORK! As everyone knows, the Trump Administration has produced a great and safe VACCINE far ahead of sch… "
81,10,Sen. Rick Scott of Florida says he has tested positive for the coronavirus and is isolating at home with “very mild… 
82,10,What does emergency use of a COVID-19 vaccine mean? It's when regulators allow shots to be given to certain people… 
83,10,Stocks open slightly lower at the end of a choppy week on Wall Street. Technology and banking stocks had some of th… 
84,10,"AP Morning Wire:
 
•  CDC in US says avoid Thanksgiving travel.
•  Trump takes frantic steps to overturn defeat; Bi… "
85,10,"Virus Update:
• Pfizer seeking emergency use of its COVID-19 vaccine in U.S.
• India's virus cases cross 9 million.… "
86,10,The Food and Drug Administration will have to decide if there's really enough evidence to allow emergency vaccinati… 
87,10,"BREAKING: Pfizer seeking U.S. emergency use of COVID-19 shot, starting process that could bring some doses as early… "
88,10,"AP Morning Wire:
 
•  CDC in US says avoid Thanksgiving travel.
•  Trump takes frantic steps to overturn defeat; Bi… "
89,10,Health officials around the world are clashing over the use of certain drugs for COVID-19. That's led to different… 
90,10,"AP Morning Wire:
 
•  CDC in US says avoid Thanksgiving travel.
•  Trump takes frantic steps to overturn defeat; Bi… "
91,10,Japan's foreign minister says his Chinese counterpart will visit Tokyo next week as the two Asian powers discuss wa… 
92,10,One Good Thing: A group of volunteers in Malaysia are teaching refugee women in Kuala Lumpur to read and write to b… 
93,10,PHOTO GALLERY: Highlights of  some of the most compelling images made or published by @AP Photographers in Latin Am… 
94,10,PHOTO GALLERY: Highlights of some of the most compelling images made or published by @AP Press photographers in the… 
95,10,Australian Defense Minister Linda Reynolds  says she was “physically ill” after reading a military report into war… 
96,10,PHOTO GALLERY: Highlights of some of the most compelling images made or published by @AP in Asia and Pacific. 
97,10,BREAKING: The U.S. government has executed a man who kidnapped and raped a 16-year-old Texas girl before dousing he… 
98,10,India’s total number of coronavirus cases since the pandemic began has crossed 9 million. Nevertheless the country’… 
99,10,Asia Today: Australia’s once hard-hit state of Victoria has gone three weeks without a new COVID-19 case for the fi… 
100,10,BREAKING: The U.S. Supreme Court clears path for the federal government to carry out the execution of a man convict… 
101,10,New York’s attorney general has sent a subpoena to the Trump Organization for records related to consulting fees pa… 
102,10,"Rachel Maddow has returned to the air for the first time in two weeks, describing her partner's harrowing bout with… "
103,10,"Mexico has now become the fourth country with more than 100,000 COVID-19 deaths. The nation's director of epidemiol… "
104,10,"Four accusers of defrocked ex-Cardinal Theodore McCarrick are suing the Vatican, saying it should be held liable fo… "
105,10,"Democrats had focused heavily on Georgia, seeing it as in play two years after @StaceyAbrams narrowly lost the gove… "
106,10,Joe Biden has won Georgia's 16 electoral votes. It's an extraordinary victory for Democrats who had pushed to expan… 
107,10,AP declares Joe Biden the winner in Georgia after state election officials said a hand tally of ballots confirmed h… 
108,10,A top Georgia election official says a hand tally of race ballots has been completed and the results affirm Joe Bid… 
109,10,Pharmaceutical companies Pfizer and BioNTech will seek emergency authorization from the Food and Drug Administratio… 
110,10,"In February, a group of workers set out for one of the most remote places on Earth — a camp on Kure Atoll, on the u… "
111,10,"Dr. Anthony Fauci returned to the White House podium for the first time in months and said he ""wants to settle” con… "
112,10,BREAKING: California Gov. Gavin Newsom announces overnight curfew for nearly the entire state as coronavirus cases… 
113,10,"Delays in coronavirus testing are happening as the U.S. braces for winter weather, flu season and holiday travel, a… "
114,10,Managers at Tyson Foods' largest pork plant organized a betting pool on how many employees would get infected with… 
115,10,The Census Bureau says irregularities have been found during the numbers-crunching phase of the 2020 census. That m… 
116,10,Trump’s legal team has lost repeatedly in court and failed to uncover the kind of widespread fraud that might chall… 
117,10,"Fighting to challenge an election he lost to Joe Biden, President Trump has launched a barrage of lawsuits across t… "
118,10,“My mom went from being unbelievably cared for to dead in three weeks. They were in over their head more than anyon… 
119,10,"“I was terrified when I first saw him coming up the aisle, but then I got angry."" Passengers who wrestled and disar… "
120,10,A university official says the latest airstrike by Ethiopia’s military has struck the school in the capital of the… 
121,10,Fashion designer Mossimo Giannulli has reported to prison to begin serving his five-month sentence for bribing his… 
122,10,"In February, a group of workers set out for one of the most remote places on Earth - a camp on Kure Atoll, on the u… "
123,10,General Motors says a pending breakthrough in battery chemistry will cut the price of its electric vehicles so they… 
124,10,A nursing home expert who analyzed federal data for The Associated Press estimates that for every two coronavirus v… 
125,10,The National Science Foundation says it will close the telescope at the renowned Arecibo Observatory in Puerto Rico… 
126,10,"More people are waiting for hours in long lines to get tested for the coronavirus, as cases surge nationwide and fa… "
127,10,"Will social distancing weaken my immune system? In short, no. "
128,10,Stocks open lower on Wall Street over economic fallout from rising coronavirus infections. The number of Americans… 
129,10,The Brexit trade negotiations have been suspended at a crucial stage because an EU negotiator has tested positive f… 
130,10,The son of singer Bobby Brown was found dead at a Los Angeles home. He was 28 years old. Police believe no foul pla… 
131,10,"From AP Morning Wire:
 
• Pandemic deaths in US surpass 250,000; Hospitals overwhelmed with cases.
• Virus 'a new t… "
132,10,"Nursing home watchdogs say they are receiving reports of residents allowed to wither in starvation or thirst, left… "
133,10,"BREAKING: 742,000 Americans seek jobless aid as layoffs remain elevated amid resurgence of virus. "
134,10,ICU beds fill up almost overnight in Syria's war-ravaged Idlib region. As one patient dies of the coronavirus and i… 
135,10,"Virus update: 
• Nursing home neglect deaths surge in shadows of COVID-19. 
• U.S. hospitals overwhelmed with virus… "
136,10,"An adviser to Iran’s supreme leader, who is a possible 2021 presidential candidate, tells @AP any American attack o… "
137,10,BREAKING: U.S. official says Secretary of State Mike Pompeo has visited an Israeli settlement in the occupied West… 
138,10,"Nursing home watchdogs are receiving reports of residents allowed to wither in starvation or thirst, left in soiled… "
139,10,"From AP Morning Wire:
 
• Pandemic deaths in US surpass 250,000; Hospitals overwhelmed with cases.
• Virus 'a new t… "
140,10,Secretary of State Mike Pompeo says the U.S. will regard the Palestinian-led boycott movement as “anti-Semitic” and… 
141,10,"From AP Morning Wire:
 
• Pandemic deaths in US surpass 250,000; Hospitals overwhelmed with cases.
• Virus 'a new t… "
142,10,Global stock markets are mostly lower after Wall Street fell for a second day on anxiety over the economic fallout… 
143,10,President Xi Jinping has spurned suggestions that China might decouple or separate itself from the U.S. and other t… 
144,10,"As more than 90,000 of U.S. nursing home residents died of COVID-19, advocates for the elderly say a tandem wave of… "
145,10,Japan’s number of reported daily coronavirus infections has hit a record high and the prime minister is urging maxi… 
146,10,"Rapper Lil Baby has been named artist of the year at the second annual Apple Music Awards. The rapper, who topped t… "
147,10,Asia Today: The leader of the small Pacific nation of Samoa has appealed for calm after the country reported it’s f… 
148,10,Washington has its first ambassador to Venezuela in a decade despite the U.S. having no diplomats in its Caracas em… 
149,10,A worker helping set up the Rockefeller Center Christmas tree found a holiday surprise - a tiny owl among the massi… 
150,10,An Australian military report on war crimes has found evidence that elite Australian troops unlawfully killed 39 Af… 
151,10,"When the count is complete, Democrat Joe Biden will likely have racked up around 80 million votes - and won the Whi… "
152,10,"For five generations, women from this family have worked on the same Malaysian plantation. Aged from 6 to 102, they… "
153,10,BREAKING: The Minnesota Timberwolves have selected former Georgia guard Anthony Edwards with the No. 1 pick in the… 
154,10,"Former President Barack Obama’s “A Promised Land” sold nearly 890,000 copies in the U.S. and Canada in its first 24… "
155,10,U.S. Catholics are sharply divided over a move by their bishops to examine the repercussions of President-elect Joe… 
156,10,"BREAKING: Confirmed U.S. death toll from the coronavirus tops 250,000 by Johns Hopkins University count, highest in… "
157,10,Conditions inside the nation's hospitals are deteriorating by the day amid the surging coronavirus. The number of p… 
158,10,"Despite lacking evidence of widespread fraud, President Trump and his GOP allies are pursuing several cases aimed a… "
159,10,"The “Great Pumpkin” never showed on broadcast television this year, but after a deal with PBS, the Charlie Brown Th… "
160,10,"Fox News faces an unexpected challenge from the right, fueled by the president's unhappiness. "
161,10,The devastation caused by Hurricane Iota became clearer as images emerged showing piles of lumber that used to be h… 
162,10,"Read more from the @AP’s Fruits of Labor investigation of the palm industry. 7/7

FULL COVERAGE:… "
163,10,"Women interviewed by the @AP detailed a series of health issues, ranging from dizzy spells, nosebleeds, difficulty… "
164,10,"Female workers routinely carry out some of the industry’s most punishing jobs, lugging loads so heavy that their ut… "
165,10,"The @AP used U.S. Customs records, product ingredient lists and the latest published data from producers, traders a… "
166,10,"Rape accusations are typically settled through “peace solutions” in which the victim’s family may be paid off. 

So… "
167,10,"Women on plantations often face sexual abuse, ranging from verbal harassment and threats to rape, and victims rarel… "
168,10,"“Please pay attention to our lives.” 

@MargieMasonAP and @robinmcdowell spoke to dozens of women on palm oil plant… "
169,10,BREAKING: The city department of education says New York City schools will close to in-person learning as coronavir… 
170,10,A former Army Green Beret pleaded guilty to divulging military secrets to Russia about his Special Forces unit's ac… 
171,10,"“Please pay attention to our lives.” Women on palm oil plantations describe rapes, harassment and punishing physica… "
172,10,Hundreds of school employees in the U.S. have died of the coronavirus. While children generally have mild cases or… 
173,10,"The coming period of U.S. troop withdrawals from Afghanistan and Iraq is “fraught with risk,” but the military will… "
174,10,"Searching for joy: holidaymakers are jump starting Christmas early.
"
175,10,A federal judge ordered the Trump administration to stop expelling immigrant children who cross the southern border… 
176,10,A U.S. judge has granted the government’s request to drop the drug trafficking and money laundering case against a… 
177,10,"Pfizer says that new test results show its coronavirus vaccine is 95% effective, is safe and also protects older pe… "
178,10,A Kenyan doctor died of COVID-19 after no ICU bed for him was available. Other doctors say they cannot afford the t… 
179,10,Stocks are edging higher on Wall Street as traders welcome more upbeat news about a coronavirus vaccine. Boeing sha… 
180,10,"From AP Morning Wire:
 
• Trump fires official who vouched for vote security.
• Deadly rise in US virus; Pandemic h… "
181,10,"“Please pay attention to our lives.” Women on palm oil plantations describe rapes, harassment and punishing physica… "
182,10,"After nearly two years and two deadly crashes, U.S. Federal Aviation Administration clears Boeing 737 Max for fligh… "
183,10,"Virus update: 
• Pfizer: More results show vaccine is 95% effective. 
• FDA allows first rapid virus test that give… "
184,10,BREAKING: Pfizer suggests its coronavirus vaccine is 95% effective and that the shots would protect older people mo… 
185,10,"Want to know the real cost of lipstick and lotion? An @AP investigation exposes rape, other abuses endured by femal… "
186,10,"From AP Morning Wire:
 
• Trump fires official who vouched for vote security.
• Deadly rise in US virus; Pandemic h… "
187,50,Two people have been injured following a fire at an apartment complex in San Francisco's Financial District 
188,50,The global pandemic has sparked a lot of unintended consequences — some of them a throwback to simpler times. 
189,50,"Dr. Deborah Birx: Keep Thanksgiving to your immediate household

""I don't like it to be any number... if you say it… "
190,50,"Former President Barack Obama agreed to surprise one of his fans on ""Jimmy Kimmel Live!""

This was her reaction.… "
191,50,"Republican Sen. Rick Scott of Florida says he has tested positive for Covid-19, adding to the number of lawmakers i… "
192,50,"An ancient Islamic necropolis containing over 4,500 bodies has been uncovered in northeastern Spain, with archaeolo… "
193,50,"On today's episode, @thomaslake talks with a pastor in South Carolina who’s doing what he can to honor those who’ve… "
194,50,"Can we visit family this holiday season? CNN Medical Analyst Dr. Leana Wen says no.

""[Not] the way that we would n… "
195,50,CNN's @BiannaGolodryga reports on the impacts holiday travel may have on the rising number of coronavirus infection… 
196,50,"Through triumph and controversy, Hillary Clinton was President Bill Clinton’s most trusted advisor. Go behind-the-s… "
197,50,"Georgia Secretary of State Brad Raffensperger says that he'll certify President-elect Joe Biden's victory Friday, f… "
198,50,Public health experts like Dr. Deborah Birx have been warning students for weeks not to risk taking Covid-19 home f… 
199,50,"""The attacks by the President and fellow GOP leaders on valid election results, without any evidence, represent mor… "
200,50,"As Thanksgiving quickly approaches, health experts are worried holiday gatherings — even if they are not large in s… "
201,50,"As his legal options fizzle and some aides seek to convince him to come to grips with reality, President Trump has… "
202,50,📩 Sign up to get the facts on coronavirus delivered to your inbox daily: Here's everything… 
203,50,Until either US President Donald Trump admits defeat and calls off his minions or the GOP admits his defeat and ack… 
204,50,Pfizer and BioNTech say they will apply Friday for emergency authorization of their Covid-19 vaccine and that it co… 
205,50,"President Trump told an ally that he knows he lost, but that he is delaying the transition process and is trying to… "
206,50,"""I love bringing smiles to my students and co-workers' faces even if I can't see them behind their mask.""

This tea… "
207,50,Here's a look at how the weather forecast may affect your outdoor Thanksgiving plans 
208,50,"More than 20,000 species of bee exist throughout the world — and they are dying. Researchers have taken an importan… "
209,50,"At the vanguard of robotics innovation, Japan is home to seven of the 10 world-leading industrial robotics companie… "
210,50,"Fact-checking Rudy Giuliani and the Trump legal team's wild, fact-free press conference "
211,50,"Biden poised to make first Cabinet announcements next week, eager to respond to Trump's sabotage attempts… "
212,50,President Trump is trying to steal a free and fair election that he lost by a wide margin by tearing at the most ba… 
213,50,"One Texas man used to donate his time and money to his local food bank. Now, he's among the thousands of people rel… "
214,50,"Kyle Rittenhouse says he used stimulus money to buy the gun he allegedly used to kill two during Wisconsin protest,… "
215,50,Incoming White House chief of staff Ron Klain said that President Donald Trump and General Services Administrator E… 
216,50,"A federal inmate has been executed for kidnapping, raping and burying alive a Texas teenager in 1994. "
217,50,"More than 2,000 American deaths were recorded by Johns Hopkins University on Thursday -- the highest number since e… "
218,50,"The sun rose and set in Utqiagvik, Alaska, and people there said goodbye to daylight for the next two months.

The… "
219,50,"Wildfires have scorched more than 8.7 million acres across the country this year, but the season is still not over.… "
220,50,A man sought by Colorado authorities after the discovery of human remains in a rural southern part of the state was… 
221,50,"The United States is seeing the fastest spread yet of the coronavirus, the White House Coronavirus Task Force said… "
222,50,Until either US President Donald Trump admits defeat and calls off his minions or the GOP admits his defeat and ack… 
223,50,"Long a source of national pride, the moral integrity of Australia's military is now at stake | Analysis by… "
224,50,US Treasury Secretary Steven Mnuchin is pulling the plug on funding for emergency Federal Reserve programs intended… 
225,50,"After decades of aiding astronomical discoveries, one of the most powerful telescopes on Earth will cease its obser… "
226,50,Two prominent Republican senators on Thursday ripped President Donald Trump's attempt to overturn the results of th… 
227,50,"Lockdowns could be avoided if everyone followed health measures such as wearing masks, the World Health Organizatio… "
228,50,President Trump is trying to steal a free and fair election that he lost by a wide margin by tearing at the most ba… 
229,50,Apple has agreed to pay millions of dollars to 34 states over its controversial previous practice of deliberately s… 
230,50,Colin Kaepernick just added his name to a list of activists and academics who have been calling for the release of… 
231,50,"""I just want people to know that there is a real, true suffering out there and it is a direct result of this virus.… "
232,50,A Covid-19 patient played the violin while on a ventilator in the ICU to thank health care workers… 
233,50,The World Health Organization has updated its ongoing guidance on Covid-19 medications to advise against using the… 
234,50,"Dr. Anthony Fauci says officials should “keep the schools open.”

“Obviously, you want to be sensitive to the safet… "
235,50,"Dr. Anthony Fauci on Covid-19 vaccines: “Help is on the way, which to me I think should motivate people even more t… "
236,50,"""Transitions are obviously important,” says Dr. Anthony Fauci about the Trump administration impeding the transitio… "
237,50,President-elect Joe Biden has expedited the selection of his Cabinet and is planning to make the first of several k… 
238,50,The most populous county in Washington state is moving forward with a plan that will allow community groups — inste… 
239,50,"""I've been a relentless cheerleader about the possibilities of Georgia, so I am happy to take credit for pulling at… "
240,50,"The sun rose and set in Utqiagvik, Alaska, and people there said goodbye to daylight for the next two months.

The… "
241,50,Dr. Anthony Fauci to families ahead of the holiday season: “Each and every family unit should do a risk-benefit det… 
242,50,"While scenes from New York City and other major cities dominated the coronavirus narrative earlier this year, the p… "
243,50,"Ron Klain, the incoming White House chief of staff, outlines how the Biden administration plans to tackle the coron… "
244,50,Maryland Gov. Larry Hogan says it was a “smart move” on the part of President-elect Joe Biden to host a bipartisan… 
245,50,"The leader of the free world has power to affect many lives, but comparatively little ability to reform decaying in… "
246,50,"""I'm very hopeful that by summer we will be able to go back to offices and open up those restaurants and bars,"" say… "
247,50,New York authorities investigating the Trump Organization have expanded their inquiries to include tax write-offs i… 
248,50,"""We have always had a peaceful transition of power,"" says Maryland Gov. Larry Hogan about President Trump’s refusal… "
249,50,"Retired Army Brig. Gen. Anthony Tata, a top Pentagon official, has tested positive for Covid-19, according to a Pen… "
250,50,"US President Trump met with Indonesia's Minister of Maritime Affairs and Investment at the White House on Tuesday,… "
251,50,"Tyson supervisors at an Iowa pork processing facility took bets on how many workers would get Covid-19, even as the… "
252,50,Only a few new members of the 117th Congress are Black. @MondaireJones and @CoriBush share why it matters with… 
253,50,"After the coronavirus pandemic first hit, Dr. David Burkard found himself having some of the toughest conversations… "
254,50,"A number of museums in Washington, DC, are closing their doors again amid a spike in coronavirus cases "
255,50,"Overfishing is depleting our seas of marine life, but researchers are developing technology like smart nets and sca… "
256,50,"""American households will be expected to produce billions of dollars in just a few weeks... A wave of evictions and… "
257,50,Kamala Harris took part in a classified briefing of the Senate Intelligence Committee this week and emerged in a st… 
258,50,"“I think we're seeing the kinds of stunts we expected, but Donald Trump doesn't get to decide if Joe Biden is Presi… "
259,50,A federal court judge has agreed to delay the execution of Lisa Montgomery after her attorneys argued they needed m… 
260,50,"The University of California, Berkeley is cutting ties with part of its past and renaming two buildings that are na… "
261,50,"""The future of Black politics is young, energetic, progressive and urgent.” Rep.-elect @MondaireJones tells… "
262,50,State judges in Arizona and Pennsylvania and a federal judge in Georgia rejected election-related lawsuits Thursday… 
263,50,"JUST IN: After a statewide audit, Georgia election officials have confirmed President-elect Biden's victory over Pr… "
264,50,New York City's decision to close schools as coronavirus rates rise has set off a torrent of political infighting a… 
265,50,"Kelly Stafford, wife of longtime Detroit Lions quarterback Matthew Stafford, apologized on Thursday after calling M… "
266,50,"''A Biden administration will need to address the many issues Americans are facing...The short-term, reactionary po… "
267,50,"“Atatiana, Aiyana, Sandra... They going to hear all of them.” Rep.-elect @CoriBush was mistaken for Breonna Taylor… "
268,50,"President-elect Joe Biden discussed a national mask mandate, plans to distribute a coronavirus vaccine and the need… "
269,50,"The Census Bureau said it has discovered unspecified ""anomalies"" in its count of the US population that could delay… "
270,50,"In a last-ditch effort days before they could face deportation, children in federal custody are asking President Tr… "
271,50,"Vaccines are almost ready to help battle the coronavirus pandemic, but people must now increase their use of masks,… "
272,50,"A statewide mask mandate will be in place in New Hampshire starting Friday, Gov. Chris Sununu has announced "
273,50,"""There's a great deal at stake,"" says former Obama GSA administrator Denise Turner Roth, of the transition from the… "
274,50,California Gov. Gavin Newsom is enacting a curfew as part of a “limited stay-at-home order” that will affect about… 
275,50,"""Candidates don't get to decide who wins the election, voters do. And in this case, the voters of the state of Mich… "
276,50,"Americans are ""witnessing incredible irresponsibility, incredibly damaging messages being sent to the rest of the w… "
277,50,"President-elect Joe Biden says he would not implement a national shutdown “because every region, every area, every… "
278,50,"There has been a major coronavirus outbreak aboard a US Navy guided missile destroyer, the USS Michael Murphy, whic… "
279,50,“What really pleased me most was that governors made clear that beating Covid-19 is going to require all of us work… 
280,50,"The US Centers for Disease Control and Prevention recommends that Americans should not travel for Thanksgiving, and… "
281,50,"Fashion designer Mossimo Giannulli, the husband of actress Lori Loughlin, has reported to prison to begin his five-… "
282,50,"Verizon and Apple are teaming up on another sales pitch for the 5G iPhone 12 — and this time, they're aiming at bus… "
283,50,"As Covid-19 cases rise across the country, leading US medical and health organizations are calling on the American… "
284,50,"Chicago's Wrigley Field has been designated a National Historic Landmark by David Bernhardt, the Secretary of the I… "
285,50,Lady Bird’s beautification initiative helped to spread hope by beautifying the nation’s highways. Learn about those… 
286,50,"After decades of aiding astronomical discoveries, one of the most powerful telescopes on Earth will cease its obser… "
287,50,All residents of Key West must wear masks any time they leave their homes — even when they're able to keep a safe d… 
288,50,The Sacramento County Board of Supervisors on Tuesday unanimously approved a resolution that declared racism a publ… 
289,50,How Trump is intentionally making things more difficult for Biden | Analysis by @zbyronwolf 
290,50,"""I just want people to know that there is a real, true suffering out there and it is a direct result of this virus.… "
291,50,More than 900 staff members across the Midwest Mayo Clinic system have been diagnosed with Covid-19 over the last 1… 
292,50,"Bobby Brown Jr., the son of singer Bobby Brown, was found dead in his Los Angeles home on Wednesday, authorities co… "
293,50,Nigeria threatens CNN with sanctions but provides no evidence Lekki toll gate investigation is inaccurate 
294,50,"At least 16 people have been killed in Kampala, Uganda, in two days of protest over the arrest of presidential oppo… "
295,50,"BuzzFeed is acquiring HuffPost as part of a larger deal with Verizon Media Group, the companies announced.

The dea… "
296,50,"""There is a time for everything, and my time of putting in a twelve-hour workday, and memorizing seven pages of dia… "
297,50,"During the pandemic, this English language arts teacher's goal has been to create stability and routine for her stu… "
298,50,Colin Kaepernick just added his name to a list of activists and academics who have been calling for the release of… 
299,50,FIFA announced that its Football Stakeholders Committee has backed reforms that would see women granted a minimum 1… 
300,50,"Philanthropist, actor and proud Texan Matthew McConaughey talks with ""The Late Show"" host Stephen Colbert about the… "
301,50,Apple has agreed to pay millions of dollars to 34 states over its controversial previous practice of deliberately s… 
